Características da habitação do produtor singular (Idade entre 30 e 50 anos),,,,,,,,,,,
,,,,,,,,,,,Pág. 2/3
REGIÃO AGRÁRIA,,Total de explorações (nº),,,,,Total de explorações com produtor residente na exploração (nº),,,,
Ilha,,Total,Electricidade,Água canalizada,Instalação sanitária,Electrodomésticos,Total,Electricidade,Água canalizada,Instalação sanitária,Electrodomésticos
Concelho,,Idade da habitação  entre 30 a 50 anos,,,,,,,,,
MADEIRA,,  3 623 ,  3 615 ,  3 599 ,  3 564 ,  3 586 ,  2 565 ,  2 561 ,  2 548 ,  2 531 ,  2 546 
,Ilha da Madeira,  3 609 ,  3 601 ,  3 585 ,  3 550 ,  3 572 ,  2 560 ,  2 556 ,  2 543 ,  2 526 ,  2 541 
,Calheta,   379 ,   377 ,   376 ,   364 ,   373 ,   256 ,   255 ,   254 ,   248 ,   254 
,Câmara de Lobos,   522 ,   522 ,   519 ,   517 ,   519 ,   417 ,   417 ,   414 ,   413 ,   415 
,Funchal,   247 ,   247 ,   247 ,   247 ,   247 ,   204 ,   204 ,   204 ,   204 ,   204 
,Machico,   543 ,   541 ,   542 ,   535 ,   541 ,   251 ,   250 ,   251 ,   250 ,   250 
,Ponta do Sol,   345 ,   345 ,   341 ,   341 ,   343 ,   285 ,   285 ,   281 ,   283 ,   284 
,Porto Moniz,   160 ,   159 ,   160 ,   154 ,   157 ,   98 ,   97 ,   98 ,   95 ,   95 
,Ribeira Brava,   359 ,   358 ,   352 ,   351 ,   354 ,   287 ,   286 ,   283 ,   282 ,   285 
,Santa Cruz,   226 ,   226 ,   223 ,   220 ,   226 ,   182 ,   182 ,   180 ,   176 ,   182 
,Santana,   432 ,   430 ,   429 ,   428 ,   423 ,   304 ,   304 ,   302 ,   302 ,   300 
,São Vicente,   396 ,   396 ,   396 ,   393 ,   389 ,   276 ,   276 ,   276 ,   273 ,   272 
,Ilha de Porto Santo ( Porto Santo ),   14 ,   14 ,   14 ,   14 ,   14 ,   5 ,   5 ,   5 ,   5 ,   5 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
