"Principais características do Produtor Singular - Homem (Pinhal Litoral, página 4)",,,,,,,,
,,,,,,,,1999
,,,,,,,,pág. 11/24
,,,Pinhal Litoral,Batalha,Leiria,Marinha Grande,Pombal,Porto de Mós
,,,nº de indivíduos,,,,,
Homem,,,,,,,,
Produtor singular,,,"10,321",926,"4,014",181,"3,877","1,323"
,Autónomo,,"10,076",892,"3,872",180,"3,824","1,308"
,Empresário,,245,34,142,1,53,15
Nível de instrução,,,,,,,,
,Não sabe ler nem escrever,,"1,273",129,356,17,601,170
,Sabe ler e escrever,,"2,051",177,588,29,997,260
,Básico - 1º ciclo,,"6,002",551,"2,567",107,"2,004",773
,Básico - 2º ciclo,,538,44,257,14,161,62
,Básico - 3º ciclo,,267,14,148,6,66,33
,Secundário agrícola,,2,- ,1,- ,1,- 
,Secundário não agrícola,,118,8,59,5,33,13
,Politécnico / Superior agrícola,,16,1,10,- ,1,4
,Politécnico / Superior não agrícola,,54,2,28,3,13,8
Formação profissional agrícola,,,,,,,,
,Exclusivamente prática,,"9,949",862,"3,888",177,"3,784","1,238"
,Curta duração,,220,47,69,4,57,43
,Longa duração,,83,11,29,- ,26,17
,Longa e curta duração,,51,5,17,- ,8,21
,Completa,,18,1,11,- ,2,4
Tempo de actividade agrícola ,,,,,,,,
,Tempo parcial,,"8,884",746,"3,427",167,"3,352","1,192"
,,> 0 - < 25%,"3,688",214,"1,552",26,"1,308",588
,,25 - < 50%,"2,222",181,904,64,761,312
,,50 - < 75%,"1,218",123,480,47,396,172
,,75 - < 100%,"1,756",228,491,30,887,120
,Tempo completo,,"1,437",180,587,14,525,131
Actividades remuneradas exterior à exploração,,,,,,,,
,Principal,,"4,309",373,"1,774",76,"1,557",529
,,Sector primário,409,27,167,3,190,22
,,Sector secundário,"2,323",212,937,43,859,272
,,Sector terciário,"1,577",134,670,30,508,235
,Secúndária,,109,9,42,- ,31,27
,,Sector primário,39,2,21,- ,11,5
,,Sector secundário,30,2,8,- ,10,10
,,Sector terciário,40,5,13,- ,10,12
Situação na profissão exterior à exploração,,,,,,,,
,Patrão/empregador,,638,44,270,17,173,134
,Trabalhador por conta própria,,950,93,353,13,371,120
,Trabalhador por conta de outrem,,"2,782",234,"1,173",45,"1,037",293
,Trabalhador familiar remunerado,,12,1,7,- ,1,3
,Outra situação,,36,10,13,1,6,6
Produtor singular dirigente,,,"10,112",923,"3,959",181,"3,730","1,319"
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro."
