Principais características do produtor singular (Homem - Ilha do Corvo),,,,,,,,,
,,,,,,,,,Pág. 3/9
Homem,,,Madalena,São Roque do Pico,Ilha do Faial (Horta),Ilha das Flores,Lajes das Flores,Santa Cruz das Flores,Ilha do Corvo (Corvo)
Produtor singular,,,   932 ,   421 ,  1 012 ,   405 ,   211 ,   194 ,   48 
,Autónomo,,   930 ,   413 ,  1 007 ,   404 ,   211 ,   193 ,   48 
,Empresário,,   2 ,   8 ,   5 ,   1 ,- ,   1 ,- 
Nível de instrução,,,,,,,,,
,Não sabe ler nem escrever,,   68 ,   41 ,   57 ,   54 ,   26 ,   28 ,   1 
,Sabe ler e escrever,,   98 ,   27 ,   94 ,   18 ,   13 ,   5 ,   13 
,Básico - 1º ciclo,,   620 ,   269 ,   627 ,   261 ,   129 ,   132 ,   25 
,Básico - 2º ciclo,,   78 ,   32 ,   124 ,   35 ,   22 ,   13 ,   7 
,Básico - 3º ciclo,,   29 ,   28 ,   66 ,   20 ,   11 ,   9 ,   1 
,Secundário agrícola,,   1 ,- ,- ,- ,- ,- ,- 
,Secundário não agrícola,,   25 ,   19 ,   30 ,   10 ,   5 ,   5 ,   1 
,Politécnico / Superior agrícola,,   3 ,   2 ,   3 ,   1 ,   1 ,- ,- 
,Politécnico / Superior não agrícola,,   10 ,   3 ,   11 ,   6 ,   4 ,   2 ,- 
Formação profissional agrícola,,,,,,,,,
,Exclusivamente prática,,   901 ,   392 ,   944 ,   350 ,   180 ,   170 ,   38 
,Curta duração,,   15 ,   18 ,   8 ,   36 ,   20 ,   16 ,   9 
,Longa duração,,   6 ,   5 ,   18 ,   12 ,   10 ,   2 ,   1 
,Longa e curta duração,,   6 ,   4 ,   39 ,   6 ,- ,   6 ,- 
,Completa,,   4 ,   2 ,   3 ,   1 ,   1 ,- ,- 
Tempo de actividade agrícola ,,,,,,,,,
,Tempo parcial,,   851 ,   401 ,   783 ,   347 ,   175 ,   172 ,   13 
,,> 0 - < 25%,   564 ,   293 ,   445 ,   199 ,   91 ,   108 ,   4 
,,25 - < 50%,   175 ,   49 ,   215 ,   59 ,   34 ,   25 ,   8 
,,50 - < 75%,   61 ,   29 ,   73 ,   21 ,   15 ,   6 ,   1 
,,75 - < 100%,   51 ,   30 ,   50 ,   68 ,   35 ,   33 ,- 
,Tempo completo,,   81 ,   20 ,   229 ,   58 ,   36 ,   22 ,   35 
Actividades remuneradas exterior à exploração,,,,,,,,,
,Principal,,   407 ,   155 ,   442 ,   140 ,   76 ,   64 ,   12 
,,Sector primário,   104 ,   14 ,   30 ,   22 ,   16 ,   6 ,   1 
,,Sector secundário,   90 ,   44 ,   112 ,   37 ,   10 ,   27 ,   1 
,,Sector terciário,   213 ,   97 ,   300 ,   81 ,   50 ,   31 ,   10 
,Secundária,,   27 ,   15 ,- ,   27 ,   20 ,   7 ,- 
,,Sector primário,   21 ,   7 ,- ,   4 ,   2 ,   2 ,- 
,,Sector secundário,   4 ,   6 ,- ,   4 ,   3 ,   1 ,- 
,,Sector terciário,   2 ,   2 ,- ,   19 ,   15 ,   4 ,- 
Situação na profissão exterior à exploração,,,,,,,,,
,Patrão/empregador,,   25 ,   21 ,   60 ,   10 ,   7 ,   3 ,- 
,Trabalhador por conta própria,,   58 ,   21 ,   56 ,   27 ,   19 ,   8 ,   4 
,Trabalhador por conta de outrem,,   350 ,   128 ,   325 ,   123 ,   66 ,   57 ,   8 
,Trabalhador familiar remunerado,,- ,- ,- ,- ,- ,- ,- 
,Outra situação,,   1 ,- ,   1 ,   7 ,   4 ,   3 ,- 
Produtor singular  dirigente,,,   932 ,   420 ,  1 002 ,   404 ,   211 ,   193 ,   47 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
