Origem do rendimento do agregado doméstico do produtor singular (Ilha de São Miguel - Vila Franca do Campo),,,,,,,,,,
,,,,,,,,,,Pág. 1/3
,,AÇORES,Ilha de Santa Maria (Vila Porto),Ilha de São Miguel,Lagoa,Nordeste,Ponta Delgada,Povoação,Ribeira Grande,Vila Franca do Campo
Total explorações com produtor singular,,  19 086 ,   576 ,  7 276 ,   557 ,   666 ,  2 833 ,   664 ,  1 697 ,   859 
Exclusivamente da actividade da exploração,,  1 885 ,   36 ,   875 ,   48 ,   102 ,   344 ,   86 ,   179 ,   116 
Principalmente da actividade da exploração,,  3 224 ,   59 ,  1 361 ,   110 ,   166 ,   398 ,   100 ,   377 ,   210 
Salários do sector primário,,   396 ,   10 ,   204 ,   30 ,   9 ,   51 ,   10 ,   46 ,   58 
,1ª opção,   333 ,   8 ,   169 ,   26 ,   7 ,   38 ,   10 ,   40 ,   48 
,2ª opção,   58 ,   2 ,   30 ,   3 ,   2 ,   11 ,- ,   4 ,   10 
,3ª opção,   5 ,- ,   5 ,   1 ,- ,   2 ,- ,   2 ,- 
Salários do sector secúndário,,   450 ,   9 ,   170 ,   12 ,   23 ,   31 ,   17 ,   48 ,   39 
,1ª opção,   388 ,   8 ,   136 ,   8 ,   14 ,   29 ,   16 ,   36 ,   33 
,2ª opção,   60 ,   1 ,   33 ,   4 ,   9 ,   2 ,   1 ,   11 ,   6 
,3ª opção,   2 ,- ,   1 ,- ,- ,- ,- ,   1 ,- 
Salários do sector terciário,,  1 239 ,   21 ,   495 ,   42 ,   83 ,   149 ,   31 ,   136 ,   54 
,1ª opção,  1 076 ,   19 ,   427 ,   34 ,   77 ,   134 ,   30 ,   111 ,   41 
,2ª opção,   154 ,   2 ,   64 ,   8 ,   6 ,   15 ,   1 ,   23 ,   11 
,3ª opção,   9 ,- ,   4 ,- ,- ,- ,- ,   2 ,   2 
Actividade empresarial,,   181 ,- ,   149 ,   15 ,   8 ,   32 ,   7 ,   68 ,   19 
,1ª opção,   155 ,- ,   132 ,   12 ,   6 ,   32 ,   7 ,   59 ,   16 
,2ª opção,   24 ,- ,   15 ,   2 ,   2 ,- ,- ,   8 ,   3 
,3ª opção,   2 ,- ,   2 ,   1 ,- ,- ,- ,   1 ,- 
Pensões rurais/reformas,,  1 546 ,   22 ,   634 ,   53 ,   58 ,   197 ,   47 ,   174 ,   105 
,1ª opção,  1 116 ,   22 ,   449 ,   28 ,   50 ,   147 ,   35 ,   120 ,   69 
,2ª opção,   395 ,- ,   167 ,   19 ,   6 ,   48 ,   12 ,   50 ,   32 
,3ª opção,   35 ,- ,   18 ,   6 ,   2 ,   2 ,- ,   4 ,   4 
Juros e dividendos,,   123 ,   2 ,   55 ,   2 ,   3 ,   29 ,   4 ,   14 ,   3 
,1ª opção,   54 ,- ,   28 ,   2 ,   2 ,   14 ,   2 ,   7 ,   1 
,2ª opção,   58 ,   2 ,   22 ,- ,   1 ,   13 ,   1 ,   5 ,   2 
,3ª opção,   11 ,- ,   5 ,- ,- ,   2 ,   1 ,   2 ,- 
Remessas de emigrantes,,   17 ,   1 ,   2 ,- ,- ,   2 ,- ,- ,- 
,1ª opção,   9 ,- ,- ,- ,- ,- ,- ,- ,- 
